Data set,"Authors collaborating with Xu, C. C."
Entity,"Xu, C. C."
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Qi, Yingyu",203245,"Zhengzhou University",academic,1,27,27.0,3.37,58245244900
"Qian, Hang",203245,"Zhengzhou University",academic,1,11,11.0,1.21,57223266619
"Qin, Xiangjing",700719,"CAS - South China Sea Institute of Oceanology",academic,1,15,15.0,1.41,56513030700
"Qin, Yanlin",203066,"Guangdong University of Technology",academic,1,196,196.0,6.00,56316874600
"Quan, Zhen",203089,"Henan Agricultural University",academic,1,16,16.0,3.31,59137555300
"Rahman, Md Shafiqur",704844,"University of Chittagong",academic,1,3,3.0,0.23,57095268500
"Rainey, Jan K.",501007,"Dalhousie University",academic,1,2,2.0,0.22,7006325871
"Razipour, Tahmineh",-,"Pad Sepahan Company",-,1,1,1.0,0.39,59354916000
"Ren, Qiuhe",-,"Henan Academy of Sciences",-,1,8,8.0,1.06,13808280400
"Ren, Shibiao",203007,"Anhui University of Technology",academic,1,20,20.0,1.53,35208934000
"Rizkalla, Amin Sami",501052,"Western University",academic,1,32,32.0,2.96,7004035467
"Rohani, Sohrab",501052,"Western University",academic,1,11,11.0,1.00,7005960523
"Samadi, Akbar",501007,"Dalhousie University",academic,1,1,1.0,0.24,16426570800
"Scott, Alison J.",501007,"Dalhousie University",academic,1,1,1.0,1.72,55780062800
"Shao, Puhua",203245,"Zhengzhou University",academic,1,15,15.0,1.39,58612054600
"Shao, Yang",203212,"University of Science and Technology Beijing",academic,1,118,118.0,16.07,58613670600
"Shi, Jingge",203387,"Luoyang Normal University",academic,1,90,90.0,8.46,59817414200
"Shi, Zhanghan",203245,"Zhengzhou University",academic,1,1,1.0,1.34,59547402800
"Shui, Tao",203192,"Southeast University, Nanjing",academic,1,3,3.0,0.11,57211498629
"Si, Xiaoqin",203245,"Zhengzhou University",academic,1,0,0.0,0.00,56545214200
"Sosa Carrero, Dennise Johanna",501052,"Western University",academic,1,49,49.0,0.88,57415657400
"Souzanchi, Sadra",501052,"Western University",academic,1,24,24.0,1.72,55641064300
"Sun, Fubao",203106,"Jiangnan University",academic,1,14,14.0,0.48,57203646868
"Tan, Zhongchao",501051,"University of Waterloo",academic,1,24,24.0,1.72,8847117600
"Tang, Suqin",-,"Ltd.",-,1,18,18.0,0.58,58032901100
"Tao, Jiajie",203007,"Anhui University of Technology",academic,1,6,6.0,0.68,57822730400
"Tsang, Daniel C.W.",205005,"Hong Kong University of Science and Technology",academic,1,5,5.0,2.71,59170062200
"Tymchyshyn, Matthew",501052,"Western University",academic,1,3,3.0,0.71,35222326700
"Vaidyanathan, Vinoth Kumar",703244,"SRM Institute of Science and Technology",academic,1,13,13.0,0.86,41561600000
"Venkata, Gayathri Balaji",501052,"Western University",academic,1,5,5.0,4.61,59416612100
